,pokedex_number,attack,defense,hp,sp_attack,sp_defense,speed,base_total,capture_rate,classfication,experience_growth,height_m,type1,type2,weight_kg,generation,name,PC1,PC2,Cluster,Cluster Name
47,59,110,80,90,100,80,95,555,75,285,1250000,1.9,6,6,155.0,1,Arcanine,2.3101305781836587,0.8880290893634005,2,Fully Evolved
48,60,50,40,40,40,40,90,300,255,502,1059860,0.6,17,17,12.4,1,Poliwag,-2.8971844002915965,-1.7576706322395428,1,Baby
49,61,65,65,65,50,50,90,385,120,502,1059860,1.0,17,17,20.0,1,Poliwhirl,-0.9896517589629655,-1.885974781755818,1,Baby
50,62,95,95,90,70,90,70,510,45,502,1059860,1.3,17,5,54.0,1,Poliwrath,1.303856622401791,-0.8052193217272174,2,Fully Evolved
51,63,20,15,25,105,55,90,310,200,388,1059860,0.9,14,14,19.5,1,Abra,-2.401302673261312,-0.6702480186769987,1,Baby
52,64,35,30,40,120,70,105,400,100,388,1059860,1.3,14,14,56.5,1,Kadabra,-0.5499047009498174,-0.6085108929477959,2,Fully Evolved
53,65,50,65,55,175,105,150,600,50,388,1059860,1.5,14,14,48.0,1,Alakazam,2.3185245898451057,-0.24516662310430748,2,Fully Evolved
54,66,80,50,70,35,35,35,305,180,494,1059860,0.8,5,5,19.5,1,Machop,-2.3003616658064208,0.46900257504873505,1,Baby
55,67,100,70,80,50,60,45,405,90,494,1059860,1.5,5,5,70.5,1,Machoke,-0.22563920708208218,0.3926814579515129,2,Fully Evolved
56,68,130,80,90,65,85,55,505,45,494,1059860,1.6,5,5,130.0,1,Machamp,1.5079144023101694,0.4267616590532663,2,Fully Evolved
57,69,75,35,50,70,30,40,300,255,187,1059860,0.7,9,13,4.0,1,Bellsprout,-2.7209784628818134,-0.46755163067749345,1,Baby
58,70,90,50,65,85,45,55,390,120,189,1059860,1.0,9,13,6.4,1,Weepinbell,-0.8271421627765448,-0.3360612552236191,1,Baby
59,71,105,65,80,100,70,70,490,45,189,1059860,1.7,9,13,15.5,1,Victreebel,1.0722241140839563,-0.30212749975043185,2,Fully Evolved
60,72,40,35,40,50,100,70,335,190,260,1250000,0.9,17,13,45.5,1,Tentacool,-1.6154884723792469,-1.327867757406606,1,Baby
61,73,70,65,80,80,120,100,515,60,260,1250000,1.6,17,13,55.0,1,Tentacruel,1.5863480485454098,-1.1396834339222992,2,Fully Evolved
62,77,85,55,50,65,65,90,410,190,174,1000000,1.0,6,6,30.0,1,Ponyta,-0.9615319507253516,0.9619240532922178,1,Baby
63,78,100,70,65,80,80,105,500,60,174,1000000,1.7,6,6,95.0,1,Rapidash,1.1774871581092279,0.983210579808386,2,Fully Evolved
64,79,65,65,90,40,40,15,315,190,142,1000000,1.2,17,14,36.0,1,Slowpoke,-1.9104872185920867,-2.2187450193244262,1,Baby
65,80,75,180,95,130,80,30,590,75,231,1000000,1.6,17,14,78.5,1,Slowbro,2.437252370414963,-2.728962810803127,2,Fully Evolved
66,81,35,70,25,95,55,45,325,190,312,1000000,0.3,3,16,6.0,1,Magnemite,-2.3503141903071882,-0.5304732565265781,1,Baby
67,82,60,95,50,120,70,70,465,60,312,1000000,1.0,3,16,60.0,1,Magneton,0.4152024895079089,-0.4114743963635279,2,Fully Evolved
68,83,90,55,52,58,62,60,377,45,561,1000000,0.8,12,7,15.0,1,Farfetch'd,-0.8421476129995772,-0.24861930828786757,1,Baby
69,84,85,45,35,35,35,75,310,190,538,1000000,1.4,12,7,39.2,1,Doduo,-2.241597184314133,-0.15940746113888982,1,Baby
70,85,110,70,60,60,60,110,470,45,533,1000000,1.8,12,7,85.2,1,Dodrio,0.7445088863217055,0.07625455324077987,2,Fully Evolved
71,86,45,55,65,45,70,45,325,190,433,1000000,1.1,17,17,90.0,1,Seel,-1.807617987690013,-2.5511162627741415,1,Baby
72,87,70,80,90,70,95,70,475,75,433,1000000,1.7,17,11,120.0,1,Dewgong,0.9479806629845244,-1.674763856005728,2,Fully Evolved
73,90,65,100,30,45,25,40,305,190,46,1250000,0.3,17,17,4.0,1,Shellder,-2.293847808934879,-2.0954235701379234,1,Baby
74,91,95,180,50,85,45,70,525,60,46,1250000,1.5,17,11,132.5,1,Cloyster,1.8258753993442949,-1.6352925738328123,2,Fully Evolved
75,92,35,30,30,100,35,80,310,190,204,1059860,1.3,8,13,0.1,1,Gastly,-2.270834545671504,0.08154505496597418,1,Baby
76,93,50,45,45,115,55,95,405,90,204,1059860,1.6,8,13,0.1,1,Haunter,-0.4663597574665568,0.18352051099487646,2,Fully Evolved
77,94,65,80,60,170,95,130,600,45,442,1059860,1.5,8,13,40.5,1,Gengar,2.324301895968195,0.23635250541364414,2,Fully Evolved
78,95,45,160,35,30,45,70,385,45,406,1000000,8.8,15,10,210.0,1,Onix,1.9035649533200463,-2.4991622857925098,0,Legendary
79,96,48,45,60,43,90,42,328,190,240,1000000,1.0,14,14,32.4,1,Drowzee,-1.8742519956902182,-1.6557693703581273,1,Baby
80,97,73,70,85,73,115,67,483,75,240,1000000,1.6,14,14,75.6,1,Hypno,0.9817486510474027,-1.5340352416573535,2,Fully Evolved
81,98,105,90,30,25,25,50,325,225,401,1000000,0.4,17,17,6.5,1,Krabby,-2.478817223354913,-2.3027661211557615,1,Baby
82,99,130,115,55,50,50,75,475,60,364,1000000,1.3,17,17,60.0,1,Kingler,0.6528381060365772,-2.1835242915797513,2,Fully Evolved
83,100,30,50,40,55,55,100,330,190,23,1000000,0.5,3,3,10.4,1,Voltorb,-2.25071691699841,1.7900217585658171,1,Baby
84,101,50,70,60,80,80,150,490,60,23,1000000,1.2,3,3,66.6,1,Electrode,0.7343784379626691,2.162962421187579,2,Fully Evolved
85,102,40,80,60,60,45,40,325,90,151,1250000,0.4,9,14,2.5,1,Exeggcute,-1.5421999253957341,-0.8541381870259422,1,Baby
86,104,50,95,50,40,50,35,320,190,297,1000000,0.4,10,10,6.5,1,Cubone,-2.311155936441317,-0.9943484832457914,1,Baby
87,106,120,53,50,35,110,87,455,45,269,1000000,1.5,5,5,49.8,1,Hitmonlee,0.5233086112350104,1.0047358384238283,2,Fully Evolved
88,107,105,79,50,35,110,76,455,45,390,1000000,1.4,5,5,50.2,1,Hitmonchan,0.4794686925405659,0.5858199930138117,2,Fully Evolved
89,108,55,75,90,60,75,30,385,45,286,1000000,1.2,12,12,65.5,1,Lickitung,-0.30691290670912336,-1.4533405026892339,2,Fully Evolved
90,109,65,95,40,60,45,35,340,190,374,1000000,0.6,13,13,1.0,1,Koffing,-2.0268893498387004,-1.5961763701394023,1,Baby
91,110,90,120,65,85,70,60,490,60,374,1000000,1.2,13,13,9.5,1,Weezing,0.7435456523273641,-1.4404306557392692,2,Fully Evolved
92,111,85,95,80,30,30,25,345,120,471,1250000,1.0,10,15,115.0,1,Rhyhorn,-0.9873687771981583,-1.7156856238124458,1,Baby
93,112,130,120,105,45,45,40,485,60,147,1250000,1.9,10,15,120.0,1,Rhydon,1.5040458318594176,-1.4626197874949445,2,Fully Evolved
94,113,5,5,250,35,105,50,450,30,151,800000,1.1,12,12,34.6,1,Chansey,0.6010350073129499,-1.327402870643248,2,Fully Evolved
95,114,55,115,65,100,40,60,435,45,546,1000000,1.0,9,9,35.0,1,Tangela,-0.015889073976900973,-0.5542923503807426,2,Fully Evolved
96,115,125,100,105,60,100,100,590,45,358,1000000,2.2,12,12,80.0,1,Kangaskhan,2.612464247281588,-0.9268095355896853,2,Fully Evolved
97,116,40,70,30,70,25,60,295,225,144,1000000,0.4,17,17,8.0,1,Horsea,-2.8437881497313677,-1.9272293582588458,1,Baby
98,117,65,95,55,95,45,85,440,75,144,1000000,1.2,17,17,25.0,1,Seadra,0.020087292423560183,-1.7709030096297051,2,Fully Evolved
99,118,67,60,45,35,50,63,320,225,212,1000000,0.6,17,17,15.0,1,Goldeen,-2.397032660721751,-2.033064627804896,1,Baby
100,119,92,65,80,65,80,68,450,60,212,1000000,1.3,17,17,39.0,1,Seaking,0.40610014305050984,-1.9552600313064246,2,Fully Evolved
101,120,45,55,30,70,55,85,340,225,484,1250000,0.8,17,17,34.5,1,Staryu,-1.9289691057652005,-1.7249788863633408,1,Baby
102,121,75,85,60,100,85,115,520,60,340,1250000,1.1,17,14,80.0,1,Starmie,1.4408770464605571,-1.081030384193293,2,Fully Evolved
103,122,45,65,40,100,120,90,460,45,28,1000000,1.3,14,4,54.5,1,Mr. Mime,0.6071938246237669,0.26760758455362355,2,Fully Evolved
104,123,110,80,70,55,80,105,500,45,314,1000000,1.5,0,7,56.0,1,Scyther,1.0410152090004092,1.3405405183431045,2,Fully Evolved
105,124,50,35,65,115,95,95,455,45,238,1000000,1.4,11,14,40.6,1,Jynx,0.4776922029506177,-0.41527525836789453,2,Fully Evolved
106,125,83,57,65,95,85,105,490,45,156,1000000,1.1,3,3,30.0,1,Electabuzz,0.7824970675696735,1.912817893289898,2,Fully Evolved
107,126,95,57,65,100,85,93,495,45,476,1000000,1.3,6,6,44.5,1,Magmar,0.9071252206574975,0.913878228908607,2,Fully Evolved
108,127,155,120,65,65,90,105,600,45,480,1250000,1.5,0,0,55.0,1,Pinsir,2.560861001445158,2.167153646679803,2,Fully Evolved
109,128,100,95,75,40,70,110,490,45,560,1250000,1.4,12,12,88.4,1,Tauros,1.1570928941593204,-0.7084093432657361,2,Fully Evolved
110,129,10,55,20,15,20,80,200,255,179,1250000,0.9,17,17,10.0,1,Magikarp,-3.940591877705061,-1.780175392990501,1,Baby
111,130,155,109,95,70,130,81,640,45,15,1250000,6.5,17,7,235.0,1,Gyarados,5.266249615276653,-1.1384139335091314,0,Legendary
112,131,85,80,130,85,95,60,535,45,528,1250000,2.5,17,11,220.0,1,Lapras,2.645584850667897,-1.7821311042244123,0,Legendary
113,132,48,48,48,48,48,48,288,35,527,1000000,0.3,12,12,4.0,1,Ditto,-2.1409393400636394,-0.998023662634085,1,Baby
114,133,55,50,55,45,65,55,325,45,166,1000000,0.3,12,12,6.5,1,Eevee,-1.584401807831827,-0.7737403859337666,1,Baby
115,134,65,60,130,110,95,65,525,45,69,1000000,1.0,17,17,29.0,1,Vaporeon,1.4890401359840217,-1.8520160044844012,2,Fully Evolved
116,135,65,60,65,110,95,130,525,45,289,1000000,0.8,3,3,24.5,1,Jolteon,1.0676871231146017,2.064988213961668,2,Fully Evolved
117,136,130,60,65,95,110,65,525,45,183,1000000,0.9,6,6,25.0,1,Flareon,1.3217565177496926,0.8580987802633476,2,Fully Evolved
118,137,60,70,65,85,75,40,395,45,547,1000000,0.8,12,12,36.5,1,Porygon,-0.4760767249761023,-1.261988258778786,2,Fully Evolved
119,138,40,100,35,90,55,35,355,45,474,1000000,0.4,15,17,7.5,1,Omanyte,-1.2347484026190259,-2.312861223576777,1,Baby
120,139,60,125,70,115,70,55,495,45,474,1000000,1.0,15,17,35.0,1,Omastar,0.8790537189132426,-2.307308866467979,2,Fully Evolved
121,140,80,90,30,55,45,55,355,45,448,1000000,0.5,15,17,11.5,1,Kabuto,-1.2439051614279075,-2.001725298961322,1,Baby
122,141,115,105,60,65,70,80,495,45,448,1000000,1.3,15,17,40.5,1,Kabutops,0.9311646106762431,-1.9190100925843305,2,Fully Evolved
123,142,135,85,80,70,95,150,615,45,194,1250000,1.8,15,7,59.0,1,Aerodactyl,2.9135813791942935,0.466671487114873,2,Fully Evolved
124,143,110,65,160,65,110,30,540,25,457,1250000,2.1,12,12,460.0,1,Snorlax,3.429951272331173,-1.8850090871855998,0,Legendary
125,144,85,100,90,95,125,85,580,3,197,1250000,1.7,11,7,55.4,1,Articuno,2.7708698972010577,-0.012704349919837028,2,Fully Evolved
126,145,90,85,90,125,90,100,580,3,156,1250000,1.6,3,7,52.6,1,Zapdos,2.6406127644967827,1.3753795832926043,2,Fully Evolved
127,146,100,90,90,125,85,90,580,3,183,1250000,2.0,6,7,60.0,1,Moltres,2.792852775925506,0.9058893625237001,2,Fully Evolved
128,147,64,45,41,50,50,50,300,45,144,1250000,1.8,2,2,3.3,1,Dratini,-1.3336395593828365,1.74988535523325,1,Baby
129,148,84,65,61,70,70,70,420,45,144,1250000,4.0,2,2,16.5,1,Dragonair,0.9110567522144979,1.688139909693104,2,Fully Evolved
130,149,134,95,91,100,100,80,600,45,144,1250000,2.2,2,7,210.0,1,Dragonite,3.34406010567831,0.955063007032402,0,Legendary
131,150,150,70,106,194,120,140,780,3,207,1250000,2.0,14,14,122.0,1,Mewtwo,5.603237363325321,0.024073997090620143,0,Legendary
132,151,100,100,100,100,100,100,600,45,344,1059860,0.4,14,14,4.0,1,Mew,2.1093235618258617,-1.0354345242589154,2,Fully Evolved
133,152,49,65,45,49,65,45,318,45,283,1059860,0.9,9,9,6.4,2,Chikorita,-1.4733645224767706,-0.24785120811797495,1,Baby
134,153,62,80,60,63,80,60,405,45,283,1059860,1.2,9,9,15.8,2,Bayleef,-0.20702973243214942,-0.20905324663240693,2,Fully Evolved
135,154,82,100,80,83,100,80,525,45,230,1059860,1.8,9,9,100.5,2,Meganium,1.7832059249702792,-0.21786119625428363,2,Fully Evolved
136,155,52,43,39,60,50,65,309,45,175,1059860,0.5,6,6,7.9,2,Cyndaquil,-1.7526527514862968,1.0155744774364677,1,Baby
137,156,64,58,58,80,65,80,405,45,548,1059860,0.9,6,6,19.0,2,Quilava,-0.4186821686640086,0.825999968395906,2,Fully Evolved
138,157,84,78,78,109,85,100,534,45,548,1059860,1.7,6,6,79.5,2,Typhlosion,1.6738012178709374,0.8355596055646711,2,Fully Evolved
139,158,65,64,50,44,48,43,314,45,41,1059860,0.6,17,17,9.5,2,Totodile,-1.5176857452251291,-1.8868430175296644,1,Baby
140,159,80,80,65,59,63,58,405,45,41,1059860,1.1,17,17,25.0,2,Croconaw,-0.12727227031294885,-1.8671631303861034,2,Fully Evolved
141,160,105,100,85,79,83,78,530,45,41,1059860,2.3,17,17,88.8,2,Feraligatr,2.0328201117495066,-1.9084892856610602,2,Fully Evolved
142,161,46,34,35,35,45,20,215,255,425,1000000,0.8,12,12,6.0,2,Sentret,-3.8605460850024778,-1.2083433239990478,1,Baby
143,162,76,64,85,45,55,90,415,90,298,1000000,1.8,12,12,32.5,2,Furret,-0.17196194233544912,-0.6159153737028892,2,Fully Evolved
144,163,30,30,60,36,56,50,262,255,354,1000000,0.7,12,7,21.2,2,Hoothoot,-3.2321837674486646,-0.3251379100733913,1,Baby
145,164,50,50,100,86,96,70,452,90,354,1000000,1.6,12,7,40.8,2,Noctowl,0.3910857262979824,-0.18721188341875816,2,Fully Evolved
146,165,20,30,40,40,80,55,265,255,180,800000,1.0,0,7,10.8,2,Ledyba,-3.3375562948924986,0.9138577751260099,1,Baby
147,166,35,50,55,55,110,85,390,90,180,800000,1.4,0,7,35.6,2,Ledian,-0.777375937575096,1.101698288673036,2,Fully Evolved
148,167,60,40,40,40,40,30,250,255,488,800000,0.5,0,13,8.5,2,Spinarak,-3.7426670582644443,-0.08651977317727504,1,Baby
149,168,90,70,70,60,70,40,400,90,299,800000,1.1,0,13,33.5,2,Ariados,-0.6809492177079634,-0.031057793929674733,2,Fully Evolved
150,169,90,80,85,70,80,130,535,90,30,1000000,1.8,13,7,75.0,2,Crobat,1.532216875724938,0.38081603198528424,2,Fully Evolved
151,170,38,38,75,56,56,67,330,190,3,1250000,0.5,17,3,12.0,2,Chinchou,-1.799226575784142,0.29954208581747915,1,Baby
152,171,58,58,125,76,76,67,460,75,288,1250000,1.2,17,3,22.5,2,Lanturn,0.6908655871236785,-0.019790567740386504,2,Fully Evolved
153,172,40,15,20,35,35,60,205,190,517,1000000,0.3,3,3,2.0,2,Pichu,-4.032088788115015,1.493188779774541,1,Baby
154,173,25,28,50,45,55,15,218,150,482,800000,0.3,4,4,3.0,2,Cleffa,-3.6862332991832156,0.4872506075701723,1,Baby
155,174,30,15,90,40,20,15,210,170,26,800000,0.3,12,4,1.0,2,Igglybuff,-3.7291566114786816,0.03677274530754827,1,Baby
156,175,20,65,35,40,65,20,245,190,470,800000,0.3,4,4,1.5,2,Togepi,-3.542988372106891,0.2152272234900143,1,Baby
157,176,40,85,55,80,105,40,405,75,223,800000,0.6,4,7,3.2,2,Togetic,-0.722645614015253,0.15919191714641245,2,Fully Evolved
158,177,50,45,40,70,45,70,320,190,293,1000000,0.2,14,7,2.0,2,Natu,-2.4253138576488467,-0.05498531164833561,1,Baby
159,178,75,70,65,95,70,95,470,75,341,1000000,1.5,14,7,15.0,2,Xatu,0.47233627823867874,0.0076903585843036155,2,Fully Evolved
160,179,40,40,55,65,45,35,280,235,572,1059860,0.6,3,3,7.8,2,Mareep,-2.9849796201639998,1.0401553502451506,1,Baby
161,180,55,55,70,80,60,45,365,120,572,1059860,0.8,3,3,13.3,2,Flaaffy,-1.2551778347445046,1.1134063090709263,1,Baby
162,181,95,105,90,165,110,45,610,45,288,1059860,1.4,3,3,61.5,2,Ampharos,2.775825598123183,1.1356554888711605,2,Fully Evolved
163,182,80,95,75,90,100,50,490,45,187,1059860,0.4,9,9,5.8,2,Bellossom,0.7674895226369058,-0.21472269639874939,2,Fully Evolved
164,183,20,50,70,20,50,40,250,190,7,800000,0.4,17,4,8.5,2,Marill,-3.280062525338739,-0.6766536861252717,1,Baby
165,184,50,80,100,60,80,50,420,75,8,800000,0.8,17,4,28.5,2,Azumarill,-0.2904201892026513,-0.6709016198710315,2,Fully Evolved
166,185,100,115,70,30,65,30,410,65,247,1000000,1.2,15,15,38.0,2,Sudowoodo,-0.13705513309531758,-2.212329460353669,2,Fully Evolved
167,186,75,75,90,90,100,70,500,45,200,1059860,1.1,17,17,33.9,2,Politoed,1.1758966104789712,-1.8611946211653536,2,Fully Evolved
168,187,35,40,35,35,55,50,250,255,114,1059860,0.4,9,7,0.5,2,Hoppip,-3.464584373241479,0.2173877846759288,1,Baby
169,188,45,50,55,45,65,80,340,120,114,1059860,0.6,9,7,1.0,2,Skiploom,-1.6365258895366965,0.5223747828325712,1,Baby
170,189,55,70,75,55,95,110,460,45,114,1059860,0.8,9,7,3.0,2,Jumpluff,0.3473815273084873,0.6613030878444043,2,Fully Evolved
171,190,70,55,55,40,55,85,360,45,302,800000,0.8,12,12,11.5,2,Aipom,-1.248195548420765,-0.6180970604012341,1,Baby
172,191,30,30,30,30,30,30,180,235,440,1059860,0.3,9,9,1.8,2,Sunkern,-4.3980997748125965,-0.3089899298404887,1,Baby
173,192,75,55,75,105,85,30,425,120,492,1059860,0.8,9,9,8.5,2,Sunflora,-0.34639471990994686,-0.3066068482994478,2,Fully Evolved
174,193,65,45,65,75,45,95,390,75,97,1000000,1.2,0,7,38.0,2,Yanma,-0.6385934656923248,1.7989263257954582,2,Fully Evolved
175,194,45,45,55,25,25,15,210,255,551,1000000,0.4,17,10,8.5,2,Wooper,-4.0335837240654495,-1.6918425440078404,1,Baby
176,195,85,85,95,65,65,35,430,90,551,1000000,1.4,17,10,75.0,2,Quagsire,0.13011616128905254,-1.7430770648067362,2,Fully Evolved
177,196,65,60,65,130,95,110,525,45,492,1000000,0.9,14,14,26.5,2,Espeon,1.1634804375865166,-0.6684343331422041,2,Fully Evolved
178,197,65,110,95,60,130,65,525,45,331,1000000,1.0,1,1,27.0,2,Umbreon,1.352770401597933,1.2147775158608685,2,Fully Evolved
179,198,85,42,60,85,42,91,405,30,124,1059860,0.5,1,7,2.1,2,Murkrow,-0.4641963899999773,1.9362218298719762,2,Fully Evolved
180,199,75,80,95,100,110,30,490,70,410,1000000,2.0,17,14,79.5,2,Slowking,1.2997718234480369,-2.2391850413102747,2,Fully Evolved
181,200,60,60,60,85,85,85,435,45,426,800000,0.7,8,8,1.0,2,Misdreavus,-0.30972386007440805,0.26714422335698645,2,Fully Evolved
182,201,72,48,48,72,48,48,336,225,500,1000000,0.5,14,14,5.0,2,Unown,-2.2560634697217403,-1.3039543999135583,1,Baby
183,202,33,58,190,33,58,33,405,45,359,1000000,1.3,14,14,28.5,2,Wobbuffet,0.020013393770354708,-1.948741403782767,2,Fully Evolved
184,203,80,65,70,90,65,85,455,60,300,1000000,1.5,12,14,41.5,2,Girafarig,0.4366272497116572,-0.7239781416139426,2,Fully Evolved
185,204,65,90,50,35,35,15,290,190,22,1000000,0.6,0,0,7.2,2,Pineco,-2.5747072936927657,1.4950517340610658,1,Baby
186,205,90,140,75,60,60,40,465,75,22,1000000,1.2,0,16,125.8,2,Forretress,0.7281404175065325,-0.699769635902546,2,Fully Evolved
187,206,70,70,100,65,65,45,415,190,276,1000000,1.5,12,12,14.0,2,Dunsparce,-0.608703907599992,-1.1140180501023085,1,Baby
188,207,75,105,65,35,65,85,430,60,190,1059860,1.1,10,7,64.8,2,Gligar,0.1007007211697089,-0.02644637428159289,2,Fully Evolved
189,208,125,230,75,55,95,30,610,25,258,1000000,9.2,16,10,400.0,2,Steelix,5.835210654561691,-3.4617298614472944,0,Legendary
